0;invalid;19925003
10000;valid;19750566
1;invalid;37962054
10001;valid;19258263
2;invalid;19089181
10002;valid;38930442
3;invalid;24532190
10003;valid;17254507
4;invalid;18190017
10004;valid;17560660
5;invalid;17547009
10005;valid;17703477
6;invalid;17675291
10006;valid;17449786
7;invalid;27044569
10007;valid;42233610
8;invalid;17360298
10008;valid;17085578
9;invalid;24781920
10009;valid;24245621
10;invalid;17011237
10010;valid;16696465
11;invalid;17139383
10011;valid;17867935
12;invalid;16618469
10012;valid;16870001
13;invalid;16838432
10013;valid;16706869
14;invalid;16884383
10014;valid;21435385
15;invalid;13567326
10015;valid;17677926
16;invalid;13401695
10016;valid;13266817
17;invalid;14330830
10017;valid;13341396
18;invalid;16300892
10018;valid;26997870
19;invalid;28341788
10019;valid;13309113
20;invalid;14073144
10020;valid;13373322
21;invalid;13404993
10021;valid;13501383
22;invalid;20033667
10022;valid;13107221
23;invalid;13395932
10023;valid;12928262
24;invalid;13998446
10024;valid;13785589
25;invalid;13096120
10025;valid;13781390
26;invalid;23902510
10026;valid;13469610
27;invalid;12981591
10027;valid;23955465
28;invalid;13694078
10028;valid;20012570
29;invalid;12959763
10029;valid;19175048
30;invalid;12857219
10030;valid;24158530
31;invalid;21328812
10031;valid;20944782
32;invalid;13163440
10032;valid;12696365
33;invalid;21383042
10033;valid;22161319
34;invalid;12796308
10034;valid;16086607
35;invalid;12800813
10035;valid;12794387
36;invalid;25554060
10036;valid;12863747
37;invalid;12684142
10037;valid;12853462
38;invalid;23309652
10038;valid;16032632
39;invalid;12864614
10039;valid;12882838
40;invalid;19074408
10040;valid;12986317
41;invalid;12597204
10041;valid;12704100
42;invalid;12647218
10042;valid;12683275
43;invalid;12673551
10043;valid;12555469
44;invalid;12646147
10044;valid;13259779
45;invalid;12639636
10045;valid;12713926
46;invalid;12552698
10046;valid;16788129
47;invalid;12524614
10047;valid;12681932
48;invalid;28559354
10048;valid;12594790
49;invalid;12803856
10049;valid;13319755
50;invalid;12522217
10050;valid;12781212
51;invalid;12853139
10051;valid;12516437
52;invalid;15851123
10052;valid;18292051
53;invalid;12513428
10053;valid;12562830
54;invalid;12562337
10054;valid;12413689
55;invalid;38511256
10055;valid;12565125
56;invalid;20130550
10056;valid;24434474
57;invalid;12535052
10057;valid;16282022
58;invalid;12340266
10058;valid;18257728
59;invalid;12559124
10059;valid;12233642
60;invalid;15687532
10060;valid;12374623
61;invalid;13078542
10061;valid;18470245
62;invalid;14623094
10062;valid;20601093
63;invalid;21393548
10063;valid;12380233
64;invalid;12532451
10064;valid;23394159
65;invalid;12236107
10065;valid;12258394
66;invalid;12411258
10066;valid;15073526
67;invalid;12378142
10067;valid;12242550
68;invalid;12399681
10068;valid;12934025
69;invalid;12275037
10069;valid;12263137
70;invalid;14710593
10070;valid;15974849
71;invalid;12184274
10071;valid;12435092
72;invalid;12303801
10072;valid;12214925
73;invalid;13023513
10073;valid;12248806
74;invalid;12363080
10074;valid;12387526
75;invalid;19826607
10075;valid;15876742
76;invalid;27121800
10076;valid;12266860
77;invalid;12210369
10077;valid;27072364
78;invalid;12233863
10078;valid;12763889
79;invalid;12242720
10079;valid;12334622
80;invalid;12301880
10080;valid;12317265
81;invalid;12125165
10081;valid;12401024
82;invalid;12939839
10082;valid;12010993
83;invalid;12438373
10083;valid;12227964
84;invalid;12958743
10084;valid;12127902
85;invalid;12179905
10085;valid;23386373
86;invalid;26857280
10086;valid;12378397
87;invalid;12259499
10087;valid;11913855
88;invalid;12320444
10088;valid;22904644
89;invalid;12243791
10089;valid;12249010
90;invalid;23880019
10090;valid;12071581
91;invalid;12259992
10091;valid;12103592
92;invalid;12977358
10092;valid;12156479
93;invalid;12230922
10093;valid;23424555
94;invalid;13118407
10094;valid;12747620
95;invalid;16925285
10095;valid;12153997
96;invalid;12783405
10096;valid;12104374
97;invalid;17148223
10097;valid;28765054
98;invalid;12168804
